family,family_size,action,old_finish,old_handle,new_finish,new_handle
TPK_T:dakota bit pull 3 inch,4,kept,Flat Black and Honey Bronze,top-knobs-m2700-dakota-bit-pull-3-inch-flat-black-and-honey-bronze,Flat Black and Honey Bronze,top-knobs-m2700-dakota-bit-pull-3-inch-flat-black-and-honey-bronze
TPK_T:dakota bit pull 3'' cc,8,RETAG,Polished Chrome,dakota-bit-pull-3-cc-m1749-polished-chrome,Oil Rubbed Bronze,dakota-bit-pull-3-cc-m1752-oil-rubbed-bronze
TPK_T:dakota bit pull 5 1/16 inch,12,RETAG,Honey Bronze,top-knobs-m2712-dakota-bit-pull-5-1,Oil Rubbed Bronze,top-knobs-m2714-dakota-bit-pull-5-1
TPK_T:dakota bit pull 6 5/16 inch,12,RETAG,Brushed Satin Nickel,top-knobs-m2722-dakota-bit-pull-6-5,Oil Rubbed Bronze,top-knobs-m2726-dakota-bit-pull-6-5
TPK_T:dakota bit pull 7 9/16 inch,12,RETAG,Brushed Satin Nickel,top-knobs-m2734-dakota-bit-pull-7-9,Oil Rubbed Bronze,top-knobs-m2738-dakota-bit-pull-7-9
TPK_T:dakota bit pull 8 13/16 inch,12,RETAG,Polished Chrome,top-knobs-m2744-dakota-bit-pull-8-13,Oil Rubbed Bronze,top-knobs-m2750-dakota-bit-pull-8-13
TPK_T:dakota buckle pull 5 1/16'' cc,4,kept,Oil Rubbed Bronze,dakota-buckle-pull-5-1-16-cc-m1203-oil-rubbed-bronze,Oil Rubbed Bronze,dakota-buckle-pull-5-1-16-cc-m1203-oil-rubbed-bronze
TPK_T:dakota charlotte appliance pull 12 inch,8,kept,Oil Rubbed Bronze,top-knobs-m2819-dakota-charlotte-appliance-pull-12-inch-oil-rubbed-bronze,Oil Rubbed Bronze,top-knobs-m2819-dakota-charlotte-appliance-pull-12-inch-oil-rubbed-bronze
TPK_T:dakota charlotte appliance pull 18 inch,8,RETAG,Polished Nickel,top-knobs-m2823-dakota-charlotte-appliance-pull-18-inch-polished-nickel,Oil Rubbed Bronze,top-knobs-m2829-dakota-charlotte-appliance-pull-18-inch-oil-rubbed-bronze
TPK_T:dakota charlotte cup pull 2 9/16'',3,kept,Honey Bronze,top-knobs-m2223-dakota-charlotte-cup-pull-2-9,Honey Bronze,top-knobs-m2223-dakota-charlotte-cup-pull-2-9
TPK_T:dakota charlotte pull 12 inch,8,RETAG,Honey Bronze,top-knobs-m2806-dakota-charlotte-pull-12-inch-honey-bronze,Oil Rubbed Bronze,top-knobs-m2809-dakota-charlotte-pull-12-inch-oil-rubbed-bronze
TPK_T:dakota charlotte pull 3'',3,kept,Honey Bronze,top-knobs-m2119-dakota-charlotte-pull-3-honey-bronze,Honey Bronze,top-knobs-m2119-dakota-charlotte-pull-3-honey-bronze
TPK_T:dakota charlotte pull 3'' cc,4,RETAG,Polished Chrome,dakota-charlotte-pull-3-cc-m1913-polished-chrome,Oil Rubbed Bronze,dakota-charlotte-pull-3-cc-m1191-oil-rubbed-bronze
TPK_T:dakota charlotte pull 4'',3,kept,Honey Bronze,top-knobs-m2117-dakota-charlotte-pull-4-honey-bronze,Honey Bronze,top-knobs-m2117-dakota-charlotte-pull-4-honey-bronze
TPK_T:dakota charlotte pull 4'' cc,4,kept,Oil Rubbed Bronze,dakota-charlotte-pull-4-cc-m1188-oil-rubbed-bronze,Oil Rubbed Bronze,dakota-charlotte-pull-4-cc-m1188-oil-rubbed-bronze
TPK_T:dakota charlotte pull 6'',3,kept,Honey Bronze,top-knobs-m2111-dakota-charlotte-pull-6-honey-bronze,Honey Bronze,top-knobs-m2111-dakota-charlotte-pull-6-honey-bronze
TPK_T:dakota charlotte pull 6'' cc,4,RETAG,Polished Chrome,dakota-charlotte-pull-6-cc-m1917-polished-chrome,Oil Rubbed Bronze,dakota-charlotte-pull-6-cc-m1185-oil-rubbed-bronze
TPK_T:dakota charlotte pull 8 inch,8,RETAG,Polished Nickel,top-knobs-m2793-dakota-charlotte-pull-8-inch-polished-nickel,Oil Rubbed Bronze,top-knobs-m2799-dakota-charlotte-pull-8-inch-oil-rubbed-bronze
TPK_T:dakota cup pull 2 9/16 inch cc in,1,kept,Patina Rouge,top-knobs-m1195-dakota-cup-pull-2-9,Patina Rouge,top-knobs-m1195-dakota-cup-pull-2-9
TPK_T:dakota cup pull 2 9/16'',3,kept,Honey Bronze,top-knobs-m2221-dakota-cup-pull-2-9,Honey Bronze,top-knobs-m2221-dakota-cup-pull-2-9
TPK_T:dakota cup pull 2 9/16'' cc,8,RETAG,Polished Chrome,dakota-cup-pull-2-9-16-cc-m1900-polished-chrome,Oil Rubbed Bronze,dakota-cup-pull-2-9-16-cc-m1194-oil-rubbed-bronze
TPK_T:dakota flat top knob 1 3/8'',7,kept,Oil Rubbed Bronze,dakota-flat-top-knob-1-3-8-m1230-oil-rubbed-bronze,Oil Rubbed Bronze,dakota-flat-top-knob-1-3-8-m1230-oil-rubbed-bronze
TPK_T:dakota hudson knob 1 1/4'',6,kept,Oil Rubbed Bronze,dakota-hudson-knob-1-1-4-m1221-oil-rubbed-bronze,Oil Rubbed Bronze,dakota-hudson-knob-1-1-4-m1221-oil-rubbed-bronze
TPK_T:dakota lida pull 3 3/4'' cc,4,kept,Oil Rubbed Bronze,dakota-lida-pull-3-3-4-cc-m1206-oil-rubbed-bronze,Oil Rubbed Bronze,dakota-lida-pull-3-3-4-cc-m1206-oil-rubbed-bronze
TPK_T:dakota oval knob 1 1/2 inch,1,kept,Patina Rouge,top-knobs-m1234-dakota-oval-knob-1-1,Patina Rouge,top-knobs-m1234-dakota-oval-knob-1-1
TPK_T:dakota oval knob 1 1/2'',7,RETAG,Polished Nickel,dakota-oval-knob-1-1-2-m1957-polished-nickel,Oil Rubbed Bronze,dakota-oval-knob-1-1-2-m1233-oil-rubbed-bronze
TPK_T:dakota peak knob 1 5/16'',9,RETAG,Honey Bronze,top-knobs-m2181-dakota-peak-knob-1-5,Oil Rubbed Bronze,dakota-peak-knob-1-5-16-m1227-oil-rubbed-bronze
TPK_T:dakota rounded knob 1 1/4'',9,RETAG,Brushed Satin Nickel,dakota-rounded-knob-1-1-4-m1581-brushed-satin-nickel,Oil Rubbed Bronze,dakota-rounded-knob-1-1-4-m1224-oil-rubbed-bronze
TPK_T:dakota saddle pull 5 1/16'' cc,4,RETAG,Polished Chrome,dakota-saddle-pull-5-1-16-cc-m1931-polished-chrome,Oil Rubbed Bronze,dakota-saddle-pull-5-1-16-cc-m1218-oil-rubbed-bronze
TPK_T:edwardian bath 18'' double towel bar - beaded backplate,5,RETAG,Polished Chrome,edwardian-bath-18-double-towel-bar-beaded-backplate-ed7pca-polished-chrome,Oil Rubbed Bronze,edwardian-bath-18-double-towel-bar-beaded-backplate-ed7orba-oil-rubbed-bronze
TPK_T:edwardian bath 18'' double towel bar - hex backplate,5,kept,Oil Rubbed Bronze,edwardian-bath-18-double-towel-bar-hex-backplate-ed7orbb-oil-rubbed-bronze,Oil Rubbed Bronze,edwardian-bath-18-double-towel-bar-hex-backplate-ed7orbb-oil-rubbed-bronze
TPK_T:edwardian bath 18'' double towel bar - oval backplate,5,kept,Oil Rubbed Bronze,edwardian-bath-18-double-towel-bar-oval-backplate-ed7orbc-oil-rubbed-bronze,Oil Rubbed Bronze,edwardian-bath-18-double-towel-bar-oval-backplate-ed7orbc-oil-rubbed-bronze
