family_root,product_handle,sku,title,vendor,finish_name,was_tagged_primary,family_size,family_finishes_json_truncated
ATL:288-BL,atlas-homewares-288-bl-ch-zanzibar-black-leather-knob-1-7,ATL-288-BL-CH,Zanzibar Black Leather Knob 1 7/8'' Polished Chrome 288-BL-CH,Atlas Homewares,Polished Chrome,yes,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-bl-brn-zanzibar-black-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-bl-ch-zanzibar-black-leather-knob-1-7""},{""na..."
ATL:288-BL,atlas-homewares-288-bl-wb-zanzibar-black-leather-knob-1-7,ATL-288-BL-WB,Zanzibar Black Leather Knob 1 7/8'' Warm Brass 288-BL-WB,Atlas Homewares,Warm Brass,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-bl-brn-zanzibar-black-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-bl-ch-zanzibar-black-leather-knob-1-7""},{""na..."
ATL:288-OW,atlas-homewares-288-ow-brn-zanzibar-brown-leather-knob-1-7,ATL-288-OW-BRN,Zanzibar Brown Leather Knob 1 7/8'' Brushed Nickel 288-OW-BRN,Atlas Homewares,Brushed Nickel,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-ow-brn-zanzibar-brown-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-ow-ch-zanzibar-brown-leather-knob-1-7""},{""na..."
ATL:288-OW,atlas-homewares-288-ow-ch-zanzibar-brown-leather-knob-1-7,ATL-288-OW-CH,Zanzibar Brown Leather Knob 1 7/8'' Polished Chrome 288-OW-CH,Atlas Homewares,Polished Chrome,yes,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-ow-brn-zanzibar-brown-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-ow-ch-zanzibar-brown-leather-knob-1-7""},{""na..."
ATL:288-OW,atlas-homewares-288-ow-wb-zanzibar-brown-leather-knob-1-7,ATL-288-OW-WB,Zanzibar Brown Leather Knob 1 7/8'' Warm Brass 288-OW-WB,Atlas Homewares,Warm Brass,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-ow-brn-zanzibar-brown-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-ow-ch-zanzibar-brown-leather-knob-1-7""},{""na..."
ATL:288-WT,atlas-homewares-288-wt-brn-zanzibar-white-leather-knob-1-7,ATL-288-WT-BRN,Zanzibar White Leather Knob 1 7/8'' Brushed Nickel 288-WT-BRN,Atlas Homewares,Brushed Nickel,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-wt-brn-zanzibar-white-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-wt-ch-zanzibar-white-leather-knob-1-7""},{""na..."
ATL:288-WT,atlas-homewares-288-wt-ch-zanzibar-white-leather-knob-1-7,ATL-288-WT-CH,Zanzibar White Leather Knob 1 7/8'' Polished Chrome 288-WT-CH,Atlas Homewares,Polished Chrome,yes,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-wt-brn-zanzibar-white-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-wt-ch-zanzibar-white-leather-knob-1-7""},{""na..."
ATL:288-WT,atlas-homewares-288-wt-wb-zanzibar-white-leather-knob-1-7,ATL-288-WT-WB,Zanzibar White Leather Knob 1 7/8'' Warm Brass 288-WT-WB,Atlas Homewares,Warm Brass,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-wt-brn-zanzibar-white-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-wt-ch-zanzibar-white-leather-knob-1-7""},{""na..."
ATL:289,atlas-homewares-289-fg-sutton-place-1-1,ATL-289-FG,Sutton Place 1 1/4'' Length Square Knob 289-FG,Atlas Homewares,French Gold,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-289-brn-sutton-place-square-knob-1-1""},{""name"":""Champagne"",""handle"":""atlas-homewares-289-cm-sutton-place-square-knob-1-1""},{""name"":""French Gold"",..."
ATL:289,atlas-homewares-289-brn-sutton-place-square-knob-1-1,ATL-289-BRN,Sutton Place Square Knob 1 1/4'' Brushed Nickel 289-BRN,Atlas Homewares,Brushed Nickel,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-289-brn-sutton-place-square-knob-1-1""},{""name"":""Champagne"",""handle"":""atlas-homewares-289-cm-sutton-place-square-knob-1-1""},{""name"":""French Gold"",..."
ATL:289,atlas-homewares-289-ch-sutton-place-square-knob-1-1,ATL-289-CH,Sutton Place Square Knob 1 1/4'' Polished Chrome 289-CH,Atlas Homewares,Polished Chrome,yes,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-289-brn-sutton-place-square-knob-1-1""},{""name"":""Champagne"",""handle"":""atlas-homewares-289-cm-sutton-place-square-knob-1-1""},{""name"":""French Gold"",..."
ATL:289,atlas-homewares-289-cm-sutton-place-square-knob-1-1,ATL-289-CM,Sutton Place Square Knob 1 1/4'' Champagne 289-CM,Atlas Homewares,Champagne,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-289-brn-sutton-place-square-knob-1-1""},{""name"":""Champagne"",""handle"":""atlas-homewares-289-cm-sutton-place-square-knob-1-1""},{""name"":""French Gold"",..."
ATL:289,atlas-homewares-289-mb-sutton-place-square-knob-1-1,ATL-289-MB,Sutton Place Square Knob 1 1/4'' Modern Bronze 289-MB,Atlas Homewares,Modern Bronze,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-289-brn-sutton-place-square-knob-1-1""},{""name"":""Champagne"",""handle"":""atlas-homewares-289-cm-sutton-place-square-knob-1-1""},{""name"":""French Gold"",..."
ATL:289,atlas-homewares-289-pn-sutton-place-square-knob-1-1,ATL-289-PN,Sutton Place Square Knob 1 1/4'' Polished Nickel 289-PN,Atlas Homewares,Polished Nickel,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-289-brn-sutton-place-square-knob-1-1""},{""name"":""Champagne"",""handle"":""atlas-homewares-289-cm-sutton-place-square-knob-1-1""},{""name"":""French Gold"",..."
ATL:289,atlas-homewares-289-sl-sutton-place-square-knob-1-1,ATL-289-SL,Sutton Place Square Knob 1 1/4'' Slate 289-SL,Atlas Homewares,Slate,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-289-brn-sutton-place-square-knob-1-1""},{""name"":""Champagne"",""handle"":""atlas-homewares-289-cm-sutton-place-square-knob-1-1""},{""name"":""French Gold"",..."
ATL:289,atlas-homewares-289-vb-sutton-place-square-knob-1-1,ATL-289-VB,Sutton Place Square Knob 1 1/4'' Venetian Bronze 289-VB,Atlas Homewares,Venetian Bronze,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-289-brn-sutton-place-square-knob-1-1""},{""name"":""Champagne"",""handle"":""atlas-homewares-289-cm-sutton-place-square-knob-1-1""},{""name"":""French Gold"",..."
ATL:290,atlas-homewares-290-fg-sutton-place-1-7,ATL-290-FG,Sutton Place 1 7/16'' Length Rectangle Knob 290-FG,Atlas Homewares,French Gold,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-290-brn-sutton-place-rectangle-knob-1-7""},{""name"":""Champagne"",""handle"":""atlas-homewares-290-cm-sutton-place-rectangle-knob-1-7""},{""name"":""French ..."
ATL:290,atlas-homewares-290-brn-sutton-place-rectangle-knob-1-7,ATL-290-BRN,Sutton Place Rectangle Knob 1 7/16'' Brushed Nickel 290-BRN,Atlas Homewares,Brushed Nickel,yes,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-290-brn-sutton-place-rectangle-knob-1-7""},{""name"":""Champagne"",""handle"":""atlas-homewares-290-cm-sutton-place-rectangle-knob-1-7""},{""name"":""French ..."
ATL:290,atlas-homewares-290-ch-sutton-place-rectangle-knob-1-7,ATL-290-CH,Sutton Place Rectangle Knob 1 7/16'' Polished Chrome 290-CH,Atlas Homewares,Polished Chrome,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-290-brn-sutton-place-rectangle-knob-1-7""},{""name"":""Champagne"",""handle"":""atlas-homewares-290-cm-sutton-place-rectangle-knob-1-7""},{""name"":""French ..."
ATL:290,atlas-homewares-290-cm-sutton-place-rectangle-knob-1-7,ATL-290-CM,Sutton Place Rectangle Knob 1 7/16'' Champagne 290-CM,Atlas Homewares,Champagne,no,8,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-290-brn-sutton-place-rectangle-knob-1-7""},{""name"":""Champagne"",""handle"":""atlas-homewares-290-cm-sutton-place-rectangle-knob-1-7""},{""name"":""French ..."
